screen_name,favorite_count,retweet_count,followers_count
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
EdwardTufte,38,25,96030
EdwardTufte,37,12,96030
EdwardTufte,259,112,96030
EdwardTufte,34,10,96030
EdwardTufte,28,9,96030
EdwardTufte,58,43,96030
EdwardTufte,29,16,96030
daroczig,5,0,1321
daroczig,57,14,1321
daroczig,3,0,1321
daroczig,106,27,1321
daroczig,0,1,1321
daroczig,20,4,1321
daroczig,0,0,1321
daroczig,27,8,1321
daroczig,33,14,1321
daroczig,1,0,1321
daroczig,9,1,1321
daroczig,6,1,1321
daroczig,6,0,1321
daroczig,7,4,1321
daroczig,5,3,1321
daroczig,4,0,1321
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,3,2,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,2,2,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,3,1889
IOSyIslam,1,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,2,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,1,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,2,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,1,1,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,1,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,2,2,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,1,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,1,1889
IOSyIslam,0,3,1889
IOSyIslam,1,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,1,0,1889
IOSyIslam,1,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,1,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
IOSyIslam,0,0,1889
bizScienc,1,1,1278
bizScienc,25,5,1278
bizScienc,40,15,1278
bizScienc,2,1,1278
bizScienc,0,0,1278
bizScienc,7,1,1278
bizScienc,20,9,1278
bizScienc,1,2,1278
bizScienc,5,2,1278
bizScienc,7,2,1278
bizScienc,2,1,1278
bizScienc,8,2,1278
bizScienc,17,8,1278
bizScienc,4,0,1278
bizScienc,1,1,1278
bizScienc,1,1,1278
bizScienc,11,3,1278
bizScienc,6,1,1278
bizScienc,0,0,1278
bizScienc,84,29,1278
bizScienc,15,5,1278
bizScienc,22,4,1278
bizScienc,35,14,1278
bizScienc,9,6,1278
bizScienc,7,1,1278
bizScienc,20,3,1278
bizScienc,4,7,1278
bizScienc,1,1,1278
bizScienc,10,4,1278
bizScienc,23,6,1278
bizScienc,13,6,1278
bizScienc,14,4,1278
bizScienc,2,0,1278
bizScienc,3,0,1278
bizScienc,2,2,1278
bizScienc,2,1,1278
bizScienc,7,2,1278
bizScienc,8,2,1278
bizScienc,12,5,1278
bizScienc,25,11,1278
bizScienc,3,1,1278
bizScienc,9,1,1278
bizScienc,0,0,1278
bizScienc,9,1,1278
bizScienc,1,1,1278
bizScienc,16,8,1278
bizScienc,13,5,1278
bizScienc,1,0,1278
bizScienc,2,1,1278
bizScienc,9,3,1278
bizScienc,10,5,1278
bizScienc,5,1,1278
bizScienc,1,0,1278
bizScienc,28,10,1278
bizScienc,4,6,1278
bizScienc,2,1,1278
bizScienc,20,6,1278
bizScienc,12,2,1278
bizScienc,4,1,1278
bizScienc,7,2,1278
bizScienc,8,2,1278
bizScienc,7,3,1278
bizScienc,7,2,1278
bizScienc,11,1,1278
bizScienc,2,2,1278
bizScienc,4,3,1278
bizScienc,5,4,1278
bizScienc,0,0,1278
bizScienc,1,0,1278
bizScienc,4,3,1278
bizScienc,28,10,1278
bizScienc,69,27,1278
bizScienc,6,4,1278
bizScienc,4,0,1278
bizScienc,6,1,1278
bizScienc,8,2,1278
bizScienc,1,0,1278
bizScienc,3,1,1278
bizScienc,5,2,1278
bizScienc,6,4,1278
bizScienc,16,4,1278
bizScienc,18,8,1278
bizScienc,4,2,1278
bizScienc,3,0,1278
bizScienc,11,3,1278
bizScienc,30,10,1278
bizScienc,4,2,1278
bizScienc,1,1,1278
bizScienc,20,6,1278
bizScienc,12,6,1278
bizScienc,3,3,1278
bizScienc,9,7,1278
bizScienc,2,1,1278
bizScienc,5,3,1278
bizScienc,6,3,1278
bizScienc,5,2,1278
garyweissman,0,0,650
garyweissman,0,1,650
abmakulec,0,0,2698
abmakulec,0,0,2698
abmakulec,0,0,2698
abmakulec,2,1,2698
abmakulec,0,1,2698
abmakulec,1,1,2698
mdancho84,2,0,1051
mdancho84,5,1,1051
mdancho84,13,8,1051
mdancho84,9,5,1051
mdancho84,1,1,1051
mdancho84,3,1,1051
mdancho84,11,2,1051
mdancho84,1,1,1051
mdancho84,2,2,1051
mdancho84,8,1,1051
mdancho84,1,0,1051
mdancho84,8,2,1051
mdancho84,7,2,1051
mdancho84,0,0,1051
mdancho84,2,2,1051
mdancho84,22,3,1051
mdancho84,1,0,1051
mdancho84,4,4,1051
mdancho84,4,1,1051
mdancho84,29,5,1051
mdancho84,8,0,1051
mdancho84,4,1,1051
mdancho84,4,2,1051
mdancho84,0,0,1051
mdancho84,3,2,1051
mdancho84,5,2,1051
mdancho84,7,3,1051
mdancho84,1,2,1051
mdancho84,2,0,1051
mdancho84,0,0,1051
mdancho84,16,3,1051
mdancho84,0,2,1051
mdancho84,17,5,1051
mdancho84,2,1,1051
mdancho84,6,0,1051
mdancho84,2,1,1051
mdancho84,5,2,1051
mdancho84,9,5,1051
mdancho84,19,0,1051
mdancho84,7,1,1051
mdancho84,1,1,1051
mdancho84,60,9,1051
mdancho84,7,1,1051
mdancho84,1,1,1051
mdancho84,1,1,1051
mdancho84,8,3,1051
mdancho84,40,4,1051
mdancho84,5,1,1051
mdancho84,1,3,1051
mdancho84,3,2,1051
mdancho84,42,12,1051
mdancho84,8,0,1051
mdancho84,5,0,1051
mdancho84,3,1,1051
mdancho84,4,0,1051
mdancho84,30,16,1051
mdancho84,11,2,1051
mdancho84,3,1,1051
mdancho84,0,1,1051
mdancho84,1,0,1051
mdancho84,5,1,1051
mdancho84,0,2,1051
mdancho84,3,1,1051
mdancho84,1,1,1051
mdancho84,0,0,1051
mdancho84,17,4,1051
mdancho84,3,2,1051
mdancho84,2,1,1051
mdancho84,0,1,1051
mdancho84,3,0,1051
mdancho84,4,2,1051
mdancho84,2,0,1051
mdancho84,7,3,1051
mdancho84,3,1,1051
mdancho84,17,3,1051
DagmedyaVeri,12,6,3107
DagmedyaVeri,7,4,3107
DagmedyaVeri,6,4,3107
DagmedyaVeri,22,6,3107
DagmedyaVeri,2,1,3107
DagmedyaVeri,24,6,3107
DagmedyaVeri,14,5,3107
statwonk,1,0,2104
statwonk,4,2,2104
statwonk,13,5,2104
statwonk,3,0,2104
statwonk,20,5,2104
statwonk,2,2,2104
statwonk,7,3,2104
statwonk,11,8,2104
statwonk,3,2,2104
statwonk,0,1,2104
statwonk,1,1,2104
statwonk,34,2,2104
statwonk,5,1,2104
statwonk,2,5,2104
statwonk,0,0,2104
statwonk,4,1,2104
statwonk,4,1,2104
statwonk,0,1,2104
statwonk,6,1,2104
statwonk,18,3,2104
statwonk,1,1,2104
statwonk,0,1,2104
statwonk,0,0,2104
statwonk,13,1,2104
statwonk,4,0,2104
statwonk,9,0,2104
statwonk,3,0,2104
statwonk,1,0,2104
statwonk,1,1,2104
statwonk,13,2,2104
statwonk,4,2,2104
statwonk,5,3,2104
statwonk,10,4,2104
statwonk,6,1,2104
statwonk,2,0,2104
statwonk,1,0,2104
statwonk,3,2,2104
statwonk,7,3,2104
statwonk,1,1,2104
statwonk,29,13,2104
statwonk,3,1,2104
statwonk,0,0,2104
statwonk,2,1,2104
statwonk,13,1,2104
statwonk,40,6,2104
statwonk,3,1,2104
statwonk,15,5,2104
statwonk,2,1,2104
statwonk,9,2,2104
statwonk,9,2,2104
statwonk,13,5,2104
statwonk,0,0,2104
statwonk,0,0,2104
statwonk,2,0,2104
RosanaFerrero,0,0,590
RosanaFerrero,4,1,590
RosanaFerrero,0,0,590
RosanaFerrero,6,8,590
RosanaFerrero,2,6,590
RosanaFerrero,10,1,590
RosanaFerrero,1,1,590
RosanaFerrero,0,1,590
RosanaFerrero,4,3,590
RosanaFerrero,10,5,590
RosanaFerrero,2,1,590
RosanaFerrero,7,5,590
RosanaFerrero,2,0,590
RosanaFerrero,4,6,590
RosanaFerrero,5,2,590
RosanaFerrero,2,4,590
RosanaFerrero,2,2,590
